u,v,key,osmid,highway,name,ref,oneway,reversed,length,geometry,maxspeed,lanes,width,bridge,service,tunnel,access
2157007004,2157007001,0,348427345,path,Woodridge Open Space Loop,,False,True,20.306364401011905,"LINESTRING (-122.168869 47.5962126, -122.1689099 47.5962488, -122.1689502 47.5962772, -122.1689579 47.5962815, -122.1689645 47.5962826, -122.1689709 47.596277, -122.1690136 47.596203)",,,1.0,,,,
2330269689,2330269690,0,80373723,track,Beuggenwaldweg,,False,False,20.321324202674397,"LINESTRING (7.9725395 47.5962172, 7.9728085 47.5962394)",,,3,,,,
2330269690,2330269689,0,80373723,track,Beuggenwaldweg,,False,True,20.321324202674397,"LINESTRING (7.9728085 47.5962394, 7.9725395 47.5962172)",,,3,,,,
2345213376,2345213444,0,225768489,service,,,False,True,53.70153699695747,"LINESTRING (13.1654339 47.5962004, 13.1653601 47.5962079, 13.1647186 47.5962034)",,,,,driveway,,
2345213444,2345213376,0,225768489,service,,,False,False,53.70153699695747,"LINESTRING (13.1647186 47.5962034, 13.1653601 47.5962079, 13.1654339 47.5962004)",,,,,driveway,,
2357170801,2357170895,0,226982212,service,,,False,True,15.208906041917599,"LINESTRING (18.3873368 47.5962007, 18.3871351 47.5962151)",,,,,,,
2357170895,2357170801,0,226982212,service,,,False,False,15.208906041917599,"LINESTRING (18.3871351 47.5962151, 18.3873368 47.5962007)",,,,,,,
2371870107,2371870113,0,228518010,unclassified,,,False,False,12.21897704590689,"LINESTRING (23.5805467 47.596205, 23.5806996 47.596243)",,,,,,,
2371870113,2371870107,0,228518010,unclassified,,,False,True,12.21897704590689,"LINESTRING (23.5806996 47.596243, 23.5805467 47.596205)",,,,,,,
2388276427,2388276433,0,230306558,service,,,False,True,7.097284362675502,"LINESTRING (13.7914012 47.5962113, 13.7913416 47.5962437, 13.7913256 47.5962494)",,,,,,,
2388276433,2388276427,0,230306558,service,,,False,False,7.097284362675502,"LINESTRING (13.7913256 47.5962494, 13.7913416 47.5962437, 13.7914012 47.5962113)",,,,,,,
2388276433,337979443,0,"[30583597, 230306558]",service,Salitererweg,,False,"[False, True]",32.589608869497255,"LINESTRING (13.7913256 47.5962494, 13.7912474 47.5962774, 13.7911128 47.5962982, 13.7910166 47.5962852, 13.7911089 47.596245)",,,,,,,
2393561527,2393561528,0,230927151,path,,,False,False,9.848599868698173,"LINESTRING (-121.9808797 47.5962064, -121.9807595 47.5962421)",,,,,,,
2393561528,2393561527,0,230927151,path,,,False,True,9.848599868698173,"LINESTRING (-121.9807595 47.5962421, -121.9808797 47.5962064)",,,,,,,
2397682323,2397682324,0,231380407,unclassified,,,False,True,4.45198397577088,"LINESTRING (-1.9584865 47.5962062, -1.9585282 47.5962347)",,,,,,,
2397682324,2397682323,0,231380407,unclassified,,,False,False,4.45198397577088,"LINESTRING (-1.9585282 47.5962347, -1.9584865 47.5962062)",,,,,,,
2397682324,2397682325,0,231380407,unclassified,,,False,True,4.179934391668955,"LINESTRING (-1.9585282 47.5962347, -1.9585838 47.5962374)",,,,,,,
2397682325,2397682324,0,231380407,unclassified,,,False,False,4.179934391668955,"LINESTRING (-1.9585838 47.5962374, -1.9585282 47.5962347)",,,,,,,
