y,x,street_count,highway,ref,geometry
47.6177305,-122.3340048,3,,,POINT (-122.3340048 47.6177305)
47.6187537,-122.3195328,3,,,POINT (-122.3195328 47.6187537)
47.6199213,-122.3195446,4,,,POINT (-122.3195446 47.6199213)
47.6016865,-122.3195786,4,,,POINT (-122.3195786 47.6016865)
47.5983491,-122.319629,4,stop,,POINT (-122.319629 47.5983491)
47.5975058,-122.3196357,3,,,POINT (-122.3196357 47.5975058)
47.614468,-122.3523592,3,traffic_signals,,POINT (-122.3523592 47.614468)
47.6164589,-122.3497748,4,,,POINT (-122.3497748 47.6164589)
47.6171294,-122.3489278,4,stop,,POINT (-122.3489278 47.6171294)
47.6178039,-122.3480716,4,,,POINT (-122.3480716 47.6178039)
47.6181371,-122.3476487,3,,,POINT (-122.3476487 47.6181371)
47.6031809,-122.3375559,5,traffic_signals,,POINT (-122.3375559 47.6031809)
47.6060352,-122.3401019,3,traffic_signals,,POINT (-122.3401019 47.6060352)
47.6068483,-122.341285,4,,,POINT (-122.341285 47.6068483)
47.6144471,-122.354031,3,traffic_signals,,POINT (-122.354031 47.6144471)
47.6232792,-122.3580308,4,,,POINT (-122.3580308 47.6232792)
47.6209419,-122.3567461,4,,,POINT (-122.3567461 47.6209419)
47.6209449,-122.3580576,4,,,POINT (-122.3580576 47.6209449)
47.6041643,-122.328058,4,traffic_signals,,POINT (-122.328058 47.6041643)
47.6048794,-122.3286935,4,traffic_signals,,POINT (-122.3286935 47.6048794)
47.6062491,-122.3301768,3,,,POINT (-122.3301768 47.6062491)
47.6070218,-122.3306814,4,traffic_signals,,POINT (-122.3306814 47.6070218)
47.6091536,-122.332635,4,traffic_signals,,POINT (-122.332635 47.6091536)
47.610148,-122.333559,4,traffic_signals,,POINT (-122.333559 47.610148)
47.6121367,-122.3353812,4,traffic_signals,,POINT (-122.3353812 47.6121367)
47.6136154,-122.3370367,4,traffic_signals,,POINT (-122.3370367 47.6136154)
47.6139547,-122.3375919,4,traffic_signals,,POINT (-122.3375919 47.6139547)
47.6151578,-122.3396251,4,traffic_signals,,POINT (-122.3396251 47.6151578)
